style_label,font_label,img1_path,img2_path,original_index
0,1,../data/dataset_new/data_complicated/img1_2829.png,../data/dataset_new/data_complicated/img2_2829.png,0
1,1,../data/dataset_new/data_complicated/img1_2486.png,../data/dataset_new/data_complicated/img2_2486.png,1
1,1,../data/dataset_new/data_complicated/img1_1409.png,../data/dataset_new/data_complicated/img2_1409.png,2
1,1,../data/dataset_new/data_complicated/img1_198.png,../data/dataset_new/data_complicated/img2_198.png,3
1,1,../data/dataset_new/data_complicated/img1_1580.png,../data/dataset_new/data_complicated/img2_1580.png,4
1,1,../data/dataset_new/data_complicated/img1_2572.png,../data/dataset_new/data_complicated/img2_2572.png,5
0,1,../data/dataset_new/data_complicated/img1_911.png,../data/dataset_new/data_complicated/img2_911.png,6
0,0,../data/dataset_new/data_complicated/img1_1175.png,../data/dataset_new/data_complicated/img2_1175.png,7
0,0,../data/dataset_new/data_complicated/img1_208.png,../data/dataset_new/data_complicated/img2_208.png,8
1,1,../data/dataset_new/data_complicated/img1_1853.png,../data/dataset_new/data_complicated/img2_1853.png,9
0,0,../data/dataset_new/data_complicated/img1_2688.png,../data/dataset_new/data_complicated/img2_2688.png,10
0,1,../data/dataset_new/data_complicated/img1_2689.png,../data/dataset_new/data_complicated/img2_2689.png,11
1,1,../data/dataset_new/data_complicated/img1_2893.png,../data/dataset_new/data_complicated/img2_2893.png,12
0,1,../data/dataset_new/data_complicated/img1_1987.png,../data/dataset_new/data_complicated/img2_1987.png,13
1,1,../data/dataset_new/data_complicated/img1_1586.png,../data/dataset_new/data_complicated/img2_1586.png,14
1,1,../data/dataset_new/data_complicated/img1_464.png,../data/dataset_new/data_complicated/img2_464.png,15
1,1,../data/dataset_new/data_complicated/img1_2571.png,../data/dataset_new/data_complicated/img2_2571.png,16
0,0,../data/dataset_new/data_complicated/img1_950.png,../data/dataset_new/data_complicated/img2_950.png,17
1,1,../data/dataset_new/data_complicated/img1_2949.png,../data/dataset_new/data_complicated/img2_2949.png,18
1,1,../data/dataset_new/data_complicated/img1_1847.png,../data/dataset_new/data_complicated/img2_1847.png,19
1,1,../data/dataset_new/data_complicated/img1_721.png,../data/dataset_new/data_complicated/img2_721.png,20
0,0,../data/dataset_new/data_complicated/img1_173.png,../data/dataset_new/data_complicated/img2_173.png,21
1,1,../data/dataset_new/data_complicated/img1_2607.png,../data/dataset_new/data_complicated/img2_2607.png,22
0,1,../data/dataset_new/data_complicated/img1_2882.png,../data/dataset_new/data_complicated/img2_2882.png,23
0,1,../data/dataset_new/data_complicated/img1_2206.png,../data/dataset_new/data_complicated/img2_2206.png,24
0,1,../data/dataset_new/data_complicated/img1_784.png,../data/dataset_new/data_complicated/img2_784.png,25
1,1,../data/dataset_new/data_complicated/img1_1574.png,../data/dataset_new/data_complicated/img2_1574.png,26
0,0,../data/dataset_new/data_complicated/img1_1354.png,../data/dataset_new/data_complicated/img2_1354.png,27
0,1,../data/dataset_new/data_complicated/img1_2588.png,../data/dataset_new/data_complicated/img2_2588.png,28
1,1,../data/dataset_new/data_complicated/img1_870.png,../data/dataset_new/data_complicated/img2_870.png,29
0,0,../data/dataset_new/data_complicated/img1_1838.png,../data/dataset_new/data_complicated/img2_1838.png,30
1,1,../data/dataset_new/data_complicated/img1_1103.png,../data/dataset_new/data_complicated/img2_1103.png,31
1,1,../data/dataset_new/data_complicated/img1_2355.png,../data/dataset_new/data_complicated/img2_2355.png,32
1,1,../data/dataset_new/data_complicated/img1_1782.png,../data/dataset_new/data_complicated/img2_1782.png,33
1,1,../data/dataset_new/data_complicated/img1_1327.png,../data/dataset_new/data_complicated/img2_1327.png,34
1,1,../data/dataset_new/data_complicated/img1_236.png,../data/dataset_new/data_complicated/img2_236.png,35
0,1,../data/dataset_new/data_complicated/img1_461.png,../data/dataset_new/data_complicated/img2_461.png,36
0,1,../data/dataset_new/data_complicated/img1_77.png,../data/dataset_new/data_complicated/img2_77.png,37
1,1,../data/dataset_new/data_complicated/img1_2803.png,../data/dataset_new/data_complicated/img2_2803.png,38
0,0,../data/dataset_new/data_complicated/img1_1741.png,../data/dataset_new/data_complicated/img2_1741.png,39
1,1,../data/dataset_new/data_complicated/img1_961.png,../data/dataset_new/data_complicated/img2_961.png,40
1,1,../data/dataset_new/data_complicated/img1_2531.png,../data/dataset_new/data_complicated/img2_2531.png,41
1,1,../data/dataset_new/data_complicated/img1_2273.png,../data/dataset_new/data_complicated/img2_2273.png,42
0,1,../data/dataset_new/data_complicated/img1_428.png,../data/dataset_new/data_complicated/img2_428.png,43
1,1,../data/dataset_new/data_complicated/img1_1743.png,../data/dataset_new/data_complicated/img2_1743.png,44
1,1,../data/dataset_new/data_complicated/img1_2974.png,../data/dataset_new/data_complicated/img2_2974.png,45
1,1,../data/dataset_new/data_complicated/img1_321.png,../data/dataset_new/data_complicated/img2_321.png,46
0,1,../data/dataset_new/data_complicated/img1_293.png,../data/dataset_new/data_complicated/img2_293.png,47
1,1,../data/dataset_new/data_complicated/img1_856.png,../data/dataset_new/data_complicated/img2_856.png,48
1,1,../data/dataset_new/data_complicated/img1_843.png,../data/dataset_new/data_complicated/img2_843.png,49
1,1,../data/dataset_new/data_complicated/img1_1106.png,../data/dataset_new/data_complicated/img2_1106.png,50
1,1,../data/dataset_new/data_complicated/img1_2749.png,../data/dataset_new/data_complicated/img2_2749.png,51
0,1,../data/dataset_new/data_complicated/img1_2962.png,../data/dataset_new/data_complicated/img2_2962.png,52
1,1,../data/dataset_new/data_complicated/img1_2558.png,../data/dataset_new/data_complicated/img2_2558.png,53
0,1,../data/dataset_new/data_complicated/img1_2162.png,../data/dataset_new/data_complicated/img2_2162.png,54
1,1,../data/dataset_new/data_complicated/img1_751.png,../data/dataset_new/data_complicated/img2_751.png,55
1,1,../data/dataset_new/data_complicated/img1_621.png,../data/dataset_new/data_complicated/img2_621.png,56
0,1,../data/dataset_new/data_complicated/img1_320.png,../data/dataset_new/data_complicated/img2_320.png,57
0,1,../data/dataset_new/data_complicated/img1_969.png,../data/dataset_new/data_complicated/img2_969.png,58
1,1,../data/dataset_new/data_complicated/img1_2219.png,../data/dataset_new/data_complicated/img2_2219.png,59
1,1,../data/dataset_new/data_complicated/img1_2839.png,../data/dataset_new/data_complicated/img2_2839.png,60
1,1,../data/dataset_new/data_complicated/img1_1816.png,../data/dataset_new/data_complicated/img2_1816.png,61
0,1,../data/dataset_new/data_complicated/img1_740.png,../data/dataset_new/data_complicated/img2_740.png,62
1,1,../data/dataset_new/data_complicated/img1_2305.png,../data/dataset_new/data_complicated/img2_2305.png,63
0,0,../data/dataset_new/data_complicated/img1_2251.png,../data/dataset_new/data_complicated/img2_2251.png,64
0,0,../data/dataset_new/data_complicated/img1_1437.png,../data/dataset_new/data_complicated/img2_1437.png,65
1,1,../data/dataset_new/data_complicated/img1_606.png,../data/dataset_new/data_complicated/img2_606.png,66
0,1,../data/dataset_new/data_complicated/img1_612.png,../data/dataset_new/data_complicated/img2_612.png,67
0,0,../data/dataset_new/data_complicated/img1_2654.png,../data/dataset_new/data_complicated/img2_2654.png,68
0,1,../data/dataset_new/data_complicated/img1_1235.png,../data/dataset_new/data_complicated/img2_1235.png,69
0,1,../data/dataset_new/data_complicated/img1_1163.png,../data/dataset_new/data_complicated/img2_1163.png,70
0,1,../data/dataset_new/data_complicated/img1_463.png,../data/dataset_new/data_complicated/img2_463.png,71
1,1,../data/dataset_new/data_complicated/img1_2133.png,../data/dataset_new/data_complicated/img2_2133.png,72
0,0,../data/dataset_new/data_complicated/img1_798.png,../data/dataset_new/data_complicated/img2_798.png,73
0,1,../data/dataset_new/data_complicated/img1_2104.png,../data/dataset_new/data_complicated/img2_2104.png,74
0,1,../data/dataset_new/data_complicated/img1_2074.png,../data/dataset_new/data_complicated/img2_2074.png,75
0,1,../data/dataset_new/data_complicated/img1_527.png,../data/dataset_new/data_complicated/img2_527.png,76
0,0,../data/dataset_new/data_complicated/img1_2569.png,../data/dataset_new/data_complicated/img2_2569.png,77
0,1,../data/dataset_new/data_complicated/img1_1414.png,../data/dataset_new/data_complicated/img2_1414.png,78
0,0,../data/dataset_new/data_complicated/img1_104.png,../data/dataset_new/data_complicated/img2_104.png,79
1,1,../data/dataset_new/data_complicated/img1_282.png,../data/dataset_new/data_complicated/img2_282.png,80
1,1,../data/dataset_new/data_complicated/img1_2966.png,../data/dataset_new/data_complicated/img2_2966.png,81
1,1,../data/dataset_new/data_complicated/img1_2699.png,../data/dataset_new/data_complicated/img2_2699.png,82
1,1,../data/dataset_new/data_complicated/img1_576.png,../data/dataset_new/data_complicated/img2_576.png,83
0,0,../data/dataset_new/data_complicated/img1_2763.png,../data/dataset_new/data_complicated/img2_2763.png,84
0,0,../data/dataset_new/data_complicated/img1_638.png,../data/dataset_new/data_complicated/img2_638.png,85
1,1,../data/dataset_new/data_complicated/img1_1931.png,../data/dataset_new/data_complicated/img2_1931.png,86
0,0,../data/dataset_new/data_complicated/img1_184.png,../data/dataset_new/data_complicated/img2_184.png,87
0,1,../data/dataset_new/data_complicated/img1_698.png,../data/dataset_new/data_complicated/img2_698.png,88
0,1,../data/dataset_new/data_complicated/img1_732.png,../data/dataset_new/data_complicated/img2_732.png,89
1,1,../data/dataset_new/data_complicated/img1_1410.png,../data/dataset_new/data_complicated/img2_1410.png,90
1,1,../data/dataset_new/data_complicated/img1_1859.png,../data/dataset_new/data_complicated/img2_1859.png,91
0,1,../data/dataset_new/data_complicated/img1_1234.png,../data/dataset_new/data_complicated/img2_1234.png,92
1,1,../data/dataset_new/data_complicated/img1_165.png,../data/dataset_new/data_complicated/img2_165.png,93
1,1,../data/dataset_new/data_complicated/img1_2851.png,../data/dataset_new/data_complicated/img2_2851.png,94
1,1,../data/dataset_new/data_complicated/img1_2946.png,../data/dataset_new/data_complicated/img2_2946.png,95
1,1,../data/dataset_new/data_complicated/img1_952.png,../data/dataset_new/data_complicated/img2_952.png,96
1,1,../data/dataset_new/data_complicated/img1_763.png,../data/dataset_new/data_complicated/img2_763.png,97
0,0,../data/dataset_new/data_complicated/img1_640.png,../data/dataset_new/data_complicated/img2_640.png,98
0,1,../data/dataset_new/data_complicated/img1_1340.png,../data/dataset_new/data_complicated/img2_1340.png,99
0,1,../data/dataset_new/data_complicated/img1_1733.png,../data/dataset_new/data_complicated/img2_1733.png,100
0,1,../data/dataset_new/data_complicated/img1_2657.png,../data/dataset_new/data_complicated/img2_2657.png,101
0,1,../data/dataset_new/data_complicated/img1_1855.png,../data/dataset_new/data_complicated/img2_1855.png,102
1,1,../data/dataset_new/data_complicated/img1_2200.png,../data/dataset_new/data_complicated/img2_2200.png,103
0,0,../data/dataset_new/data_complicated/img1_408.png,../data/dataset_new/data_complicated/img2_408.png,104
1,1,../data/dataset_new/data_complicated/img1_707.png,../data/dataset_new/data_complicated/img2_707.png,105
1,1,../data/dataset_new/data_complicated/img1_2703.png,../data/dataset_new/data_complicated/img2_2703.png,106
1,1,../data/dataset_new/data_complicated/img1_300.png,../data/dataset_new/data_complicated/img2_300.png,107
1,1,../data/dataset_new/data_complicated/img1_2283.png,../data/dataset_new/data_complicated/img2_2283.png,108
0,0,../data/dataset_new/data_complicated/img1_2520.png,../data/dataset_new/data_complicated/img2_2520.png,109
0,1,../data/dataset_new/data_complicated/img1_295.png,../data/dataset_new/data_complicated/img2_295.png,110
1,1,../data/dataset_new/data_complicated/img1_1958.png,../data/dataset_new/data_complicated/img2_1958.png,111
0,1,../data/dataset_new/data_complicated/img1_47.png,../data/dataset_new/data_complicated/img2_47.png,112
1,1,../data/dataset_new/data_complicated/img1_1475.png,../data/dataset_new/data_complicated/img2_1475.png,113
1,1,../data/dataset_new/data_complicated/img1_596.png,../data/dataset_new/data_complicated/img2_596.png,114
1,1,../data/dataset_new/data_complicated/img1_1064.png,../data/dataset_new/data_complicated/img2_1064.png,115
1,1,../data/dataset_new/data_complicated/img1_2630.png,../data/dataset_new/data_complicated/img2_2630.png,116
0,1,../data/dataset_new/data_complicated/img1_1662.png,../data/dataset_new/data_complicated/img2_1662.png,117
0,0,../data/dataset_new/data_complicated/img1_533.png,../data/dataset_new/data_complicated/img2_533.png,118
1,1,../data/dataset_new/data_complicated/img1_1492.png,../data/dataset_new/data_complicated/img2_1492.png,119
0,0,../data/dataset_new/data_complicated/img1_1438.png,../data/dataset_new/data_complicated/img2_1438.png,120
1,1,../data/dataset_new/data_complicated/img1_1280.png,../data/dataset_new/data_complicated/img2_1280.png,121
1,1,../data/dataset_new/data_complicated/img1_2830.png,../data/dataset_new/data_complicated/img2_2830.png,122
0,1,../data/dataset_new/data_complicated/img1_2005.png,../data/dataset_new/data_complicated/img2_2005.png,123
0,1,../data/dataset_new/data_complicated/img1_179.png,../data/dataset_new/data_complicated/img2_179.png,124
0,1,../data/dataset_new/data_complicated/img1_1182.png,../data/dataset_new/data_complicated/img2_1182.png,125
