user_id,article_id,rating,timestamp,days_since_last_rating,location,user_preference_Boring presentation,user_preference_Graphics,user_preference_Readability,user_preference_Consistency,user_preference_Images,user_preference_Bullets,user_preference_Text size,user_preference_Text heavy,user_preference_Tables,user_preference_Agenda,user_preference_Infographics,user_preference_Positioning,user_preference_Presentation length,user_preference_General tips,user_preference_Presentation skills,user_preference_Powerpoint knowledge,user_preference_tips and tricks,user_preference_Explanation of the problem,user_type_business,user_type_teacher,user_type_student,user_type_researcher,user_type_manager,user_type_technical,user_type_specialist,presentation_type_formal_x,presentation_type_creative_x,presentation_type_students_x,presentation_type_technical_x,presentation_type_branding_x,Boring presentation,Graphics,Readability,Consistency,Images,Bullets,Text size,Text heavy,Tables,Agenda,Infographics,Positioning,Presentation length,General tips,Presentation skills,Powerpoint knowledge,tips and tricks,Explanation of the problem,location_restrictions,Main issue,popularity,submission_date,days_since_first_submission,presentation_type_formal_y,presentation_type_creative_y,presentation_type_students_y,presentation_type_technical_y,presentation_type_branding_y,audience_type_academic,audience_type_business,audience_type_kids,audience_type_general,audience_type_creative,audience_type_specialized
1,1,4.5,2021-07-27 04:00:00+00:00,5717.1665,Illinois,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
2,1,2.0,2023-03-16 23:00:00+00:00,6314.9585,Texas,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
3,1,3.0,2015-06-21 04:00:00+00:00,3489.1667,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
4,1,3.0,2016-02-01 07:00:00+00:00,3714.2917,New York,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
5,1,2.0,2019-02-03 22:00:00+00:00,4812.9165,Florida,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
6,1,3.0,2020-02-12 22:00:00+00:00,5186.9165,California,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
7,1,2.0,2017-02-15 08:00:00+00:00,4094.3333,Illinois,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
8,1,3.0,2016-03-29 18:00:00+00:00,3771.75,California,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
9,1,2.0,2016-11-19 09:00:00+00:00,4006.375,Texas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
10,1,2.0,2016-07-01 14:00:00+00:00,3865.5833,Illinois,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,North America,Presentation length,1.19,2020-04-18 23:00:00+00:00,5252.9585,0,0,0,0,0,0,0,0,0,0,0
